,name,karat,gold_content,buy_price,sell_price,world_price,time
5,VÀNG MIẾNG SJC (Vàng SJC),24k,999.9,8530000,8700000,0,23/11/2024 09:01
0,QUÀ MỪNG BẢN VỊ VÀNG (Quà Mừng Bản Vị Vàng),24k,999.9,8563000,8658000,0,23/11/2024 09:01
2,VÀNG MIẾNG VRTL (Vàng Rồng Thăng Long),24k,999.9,8563000,8658000,0,23/11/2024 09:01
4,NHẪN TRÒN TRƠN (Vàng Rồng Thăng Long),24k,999.9,8563000,8658000,0,23/11/2024 09:01
6,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 999.9 (Vàng BTMC),24k,999.9,8500000,8640000,0,23/11/2024 09:01
3,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 99.9 (Vàng BTMC),24k,99.9,8490000,8630000,0,23/11/2024 09:01
1,VÀNG NGUYÊN LIỆU (Vàng thị trường),24k,999.9,8460000,0,0,23/11/2024 09:01
