,currency_code,currency_name,buy _cash,buy _transfer,sell,date,exchange_rate
2,AUD,AUSTRALIAN DOLLAR,16103.27,"16,265.93",16787.2,2025-04-18,16445.235
3,CAD,CANADIAN DOLLAR,18244.62,"18,428.91",19019.51,2025-04-18,18632.065
4,CHF,SWISS FRANC,30872.61,"31,184.45",32183.82,2025-04-18,31528.215
5,CNY,CHINESE YUAN,3461.57,"3,496.54",3608.59,2025-04-18,3535.08
7,EUR,EURO,28736.16,"29,026.42",30310.8,2025-04-18,29523.48
8,GBP,UK POUND STERLING,33541.1,"33,879.90",34965.65,2025-04-18,34253.375
9,HKD,HONG KONG DOLLAR,3247.37,"3,280.17",3405.67,2025-04-18,3326.52
11,JPY,JAPANESE YEN,175.83,177.61,187.0,2025-04-18,181.41500000000002
12,KRW,KOREAN WON,15.76,17.51,19.0,2025-04-18,17.38
19,SGD,SINGAPORE DOLLAR,19253.46,"19,447.94",20111.38,2025-04-18,19682.42
20,THB,THAI BAHT,684.13,760.15,792.4,2025-04-18,738.265
21,USD,US DOLLAR,25730.0,"25,760.00",26120.0,2025-04-18,25925.0
