,currency_code,currency_name,buy _cash,buy _transfer,sell,date,exchange_rate
2,AUD,AUSTRALIAN DOLLAR,16804.66,"16,974.41",17517.95,2025-12-02,17161.305
3,CAD,CANADIAN DOLLAR,18357.85,"18,543.28",19137.06,2025-12-02,18747.455
4,CHF,SWISS FRANC,31938.59,"32,261.20",33294.24,2025-12-02,32616.415
5,CNY,CHINESE YUAN,3634.34,"3,671.05",3788.61,2025-12-02,3711.4750000000004
7,EUR,EURO,29824.42,"30,125.68",31396.64,2025-12-02,30610.53
8,GBP,UK POUND STERLING,33922.81,"34,265.46",35362.68,2025-12-02,34642.744999999995
9,HKD,HONG KONG DOLLAR,3289.76,"3,322.99",3450.04,2025-12-02,3369.9
11,JPY,JAPANESE YEN,163.47,165.12,173.85,2025-12-02,168.66
12,KRW,KOREAN WON,15.51,17.23,18.7,2025-12-02,17.105
19,SGD,SINGAPORE DOLLAR,19805.38,"20,005.43",20687.37,2025-12-02,20246.375
20,THB,THAI BAHT,726.56,807.29,841.52,2025-12-02,784.04
21,USD,US DOLLAR,26140.0,"26,170.00",26410.0,2025-12-02,26275.0
